fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9519,0.9525,0.8922,0.8668
2,0.9443,0.9451,0.8762,0.8465
3,0.9409,0.9413,0.8633,0.8357
4,0.9513,0.9521,0.8898,0.8662
5,0.9426,0.9435,0.8696,0.8421
