fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9204,0.9242,0.764,0.8755
2,0.9182,0.9229,0.7457,0.8733
3,0.9228,0.9244,0.7886,0.8814
4,0.9195,0.9224,0.7742,0.8798
5,0.9318,0.9335,0.7816,0.8935
TEST,0.9166,0.922,0.7097,0.8579
