fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9078,0.9113,0.73,0.8502
2,0.9188,0.9214,0.7621,0.8748
3,0.9236,0.9235,0.753,0.8808
4,0.9229,0.9239,0.7961,0.882
5,0.9176,0.92,0.7549,0.8732
TEST,0.9312,0.935,0.7148,0.8901
