fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9203,0.9238,0.7402,0.8695
2,0.9234,0.924,0.763,0.8811
3,0.9259,0.9252,0.7521,0.8837
4,0.9308,0.9293,0.795,0.8929
5,0.9194,0.9214,0.7413,0.8753
TEST,0.9293,0.9324,0.694,0.8862
