fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9051,0.9152,0.7356,0.8533
2,0.8991,0.9112,0.7082,0.8453
3,0.909,0.9157,0.7582,0.8617
4,0.9085,0.9161,0.7511,0.8645
5,0.9245,0.93,0.7731,0.8831
TEST,0.9017,0.9148,0.6877,0.8353
