fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9301,0.9318,0.8375,0.8028
2,0.9385,0.9385,0.8649,0.8268
3,0.9339,0.9347,0.8246,0.7929
4,0.9597,0.9598,0.9148,0.9006
5,0.9225,0.9226,0.7974,0.7507
TEST,0.928,0.9307,0.8268,0.8327
