fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9254,0.927,0.7829,0.8828
2,0.9176,0.9197,0.7246,0.8716
3,0.9177,0.9173,0.7693,0.8729
4,0.9109,0.9134,0.7465,0.8664
5,0.933,0.9327,0.7795,0.8949
TEST,0.9096,0.9145,0.6775,0.8461
