fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9006,0.9027,0.6897,0.8391
2,0.8903,0.8892,0.666,0.8312
3,0.8976,0.8966,0.6788,0.8406
4,0.9072,0.9034,0.7289,0.8574
5,0.8684,0.8712,0.6423,0.8007
TEST,0.9161,0.9184,0.6649,0.8666
