fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9022,0.9088,0.7938,0.7494
2,0.9121,0.9158,0.8092,0.7717
3,0.9014,0.9079,0.7719,0.7241
4,0.9508,0.9522,0.8938,0.883
5,0.9009,0.9063,0.7508,0.7113
TEST,0.908,0.9157,0.7942,0.7973
