fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.2497,0.2733,0.3872,0.2155
2,0.3917,0.4667,0.3777,0.311
3,0.3229,0.376,0.3403,0.2581
4,0.284,0.3181,0.3356,0.2297
5,0.283,0.3119,0.3781,0.2439
TEST,0.4056,0.5003,0.3559,0.3192
