fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9113,0.9134,0.8262,0.7906
2,0.9355,0.9368,0.8526,0.8456
3,0.9224,0.9244,0.8629,0.8166
4,0.9118,0.9165,0.8294,0.7904
5,0.9406,0.9406,0.8771,0.8577
TEST,0.9365,0.9427,0.7579,0.6803
