fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8941,0.9078,0.7051,0.8311
2,0.9017,0.9128,0.7287,0.8508
3,0.9072,0.9155,0.7531,0.8577
4,0.926,0.9306,0.7971,0.8875
5,0.9012,0.9109,0.7242,0.851
TEST,0.9174,0.9271,0.6814,0.8694
