fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9488,0.9495,0.8734,0.8529
2,0.9409,0.9401,0.8698,0.8301
3,0.9337,0.9342,0.8212,0.7896
4,0.9688,0.9685,0.9325,0.9216
5,0.9275,0.928,0.8136,0.7696
TEST,0.9469,0.9461,0.8539,0.8699
