fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9307,0.9326,0.844,0.8047
2,0.9304,0.9306,0.8473,0.8064
3,0.9254,0.9263,0.8094,0.7659
4,0.9629,0.963,0.9181,0.9086
5,0.9188,0.9197,0.7877,0.7438
TEST,0.9224,0.9263,0.8058,0.8209
