fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9391,0.94,0.8207,0.9049
2,0.9428,0.9438,0.8298,0.9106
3,0.9415,0.9423,0.8304,0.9086
4,0.9409,0.9415,0.8295,0.9073
5,0.9399,0.9407,0.8223,0.9058
