fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9498,0.95,0.8717,0.8532
2,0.9347,0.9332,0.8545,0.8105
3,0.9357,0.9352,0.8299,0.792
4,0.9649,0.965,0.9209,0.9133
5,0.9292,0.9288,0.8167,0.7701
TEST,0.9283,0.9314,0.8192,0.8328
