fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8899,0.8883,0.6741,0.831
2,0.9051,0.9038,0.6905,0.8579
3,0.8875,0.8855,0.6568,0.8235
4,0.9013,0.9024,0.6666,0.8451
5,0.9093,0.9073,0.7412,0.8582
TEST,0.9041,0.9064,0.6853,0.8456
