fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9314,0.9341,0.8418,0.8119
2,0.9272,0.9284,0.8393,0.8015
3,0.9173,0.9209,0.8095,0.7538
4,0.954,0.9551,0.9064,0.8902
5,0.9152,0.9174,0.7868,0.7411
TEST,0.9124,0.918,0.8047,0.8056
