fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9108,0.9125,0.8206,0.7879
2,0.9319,0.934,0.8477,0.8389
3,0.915,0.9178,0.8436,0.8011
4,0.9041,0.91,0.8263,0.7767
5,0.9342,0.9351,0.8672,0.8458
TEST,0.9087,0.9219,0.7034,0.5976
