fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9273,0.9309,0.8298,0.8047
2,0.936,0.9366,0.8628,0.8238
3,0.9272,0.929,0.8193,0.777
4,0.9633,0.9638,0.9204,0.9107
5,0.9057,0.9105,0.7378,0.7166
TEST,0.9183,0.9236,0.8127,0.8166
