fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9032,0.9067,0.7389,0.8524
2,0.9222,0.9242,0.7522,0.8834
3,0.9162,0.9203,0.7445,0.8678
4,0.9137,0.9192,0.7277,0.8647
5,0.9201,0.9235,0.7821,0.8761
TEST,0.9218,0.9277,0.7207,0.8741
