fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9296,0.9314,0.8181,0.7789
2,0.9418,0.9423,0.8584,0.8533
3,0.9455,0.9456,0.8767,0.843
4,0.9454,0.9443,0.8456,0.8407
5,0.9342,0.9348,0.8615,0.8345
TEST,0.909,0.91,0.7963,0.7445
