bin_center,accuracy,confidence,count
0.23333333333333334,0.0,0.2215825617313385,1
0.3,1.0,0.3076949715614319,1
0.3666666666666667,0.7,0.3667852580547333,10
0.43333333333333335,0.4,0.4312759041786194,20
0.5,0.47058823529411764,0.4944674074649811,34
0.5666666666666667,0.3783783783783784,0.5669296383857727,37
0.6333333333333333,0.375,0.6293996572494507,32
0.7,0.4883720930232558,0.7044201493263245,43
0.7666666666666666,0.6904761904761905,0.7681248784065247,42
0.8333333333333334,0.6349206349206349,0.8334305882453918,63
0.9,0.8347826086956521,0.9059869050979614,115
0.9666666666666667,0.9741031628104436,0.9793518781661987,4711
