coverage,risk
0.00019573302016050108,0.0
0.00039146604032100216,0.0
0.0005871990604815032,0.0
0.0007829320806420043,0.0
0.0009786651008025053,0.0
0.0011743981209630064,0.0
0.0013701311411235075,0.0
0.0015658641612840086,0.0
0.0017615971814445098,0.0
0.0019573302016050106,0.0
0.002153063221765512,0.0
0.002348796241926013,0.0
0.002544529262086514,0.0
0.002740262282247015,0.0
0.002935995302407516,0.0
0.0031317283225680173,0.0
0.003327461342728518,0.0
0.0035231943628890195,0.0
0.0037189273830495204,0.0
0.003914660403210021,0.0
0.004110393423370522,0.0
0.004306126443531024,0.0
0.004501859463691525,0.0
0.004697592483852026,0.0
0.004893325504012527,0.0
0.005089058524173028,0.0
0.005284791544333529,0.0
0.00548052456449403,0.0
0.005676257584654531,0.0
0.005871990604815032,0.0
0.006067723624975534,0.0
0.006263456645136035,0.0
0.0064591896652965355,0.0
0.006654922685457036,0.0
0.006850655705617537,0.0
0.007046388725778039,0.0
0.00724212174593854,0.0
0.007437854766099041,0.0
0.007633587786259542,0.0
0.007829320806420043,0.0
0.008025053826580544,0.0
0.008220786846741044,0.0
0.008416519866901546,0.0
0.008612252887062048,0.0
0.008807985907222548,0.0
0.00900371892738305,0.0
0.009199451947543551,0.0
0.009395184967704051,0.0
0.009590917987864553,0.0
0.009786651008025053,0.0
0.009982384028185555,0.0
0.010178117048346057,0.0
0.010373850068506557,0.0
0.010569583088667059,0.0
0.010765316108827559,0.0
0.01096104912898806,0.0
0.011156782149148562,0.01754385964912286
0.011352515169309062,0.017241379310344862
0.011548248189469564,0.016949152542372836
0.011743981209630064,0.01666666666666672
0.011939714229790566,0.016393442622950838
0.012135447249951067,0.016129032258064502
0.012331180270111567,0.015873015873015928
0.01252691329027207,0.015625
0.01272264631043257,0.01538461538461533
0.012918379330593071,0.015151515151515138
0.013114112350753573,0.014925373134328401
0.013309845370914073,0.014705882352941124
0.013505578391074574,0.01449275362318836
0.013701311411235075,0.014285714285714235
0.013897044431395576,0.014084507042253502
0.014092777451556078,0.01388888888888884
0.014288510471716578,0.013698630136986356
0.01448424349187708,0.013513513513513487
0.014679976512037582,0.013333333333333308
0.014875709532198082,0.013157894736842146
0.015071442552358583,0.012987012987012991
0.015267175572519083,0.012820512820512775
0.015462908592679585,0.012658227848101222
0.015658641612840085,0.012499999999999956
0.015854374633000587,0.012345679012345734
0.01605010765316109,0.012195121951219523
0.01624584067332159,0.012048192771084376
0.01644157369348209,0.011904761904761862
0.01663730671364259,0.0117647058823529
0.016833039733803092,0.011627906976744207
0.017028772753963594,0.011494252873563204
0.017224505774124096,0.011363636363636354
0.017420238794284598,0.011235955056179803
0.017615971814445096,0.011111111111111072
0.017811704834605598,0.01098901098901095
0.0180074378547661,0.010869565217391353
0.0182031708749266,0.010752688172043001
0.018398903895087103,0.010638297872340385
0.0185946369152476,0.010526315789473717
0.018790369935408103,0.01041666666666663
0.018986102955568605,0.010309278350515427
0.019181835975729106,0.010204081632653073
0.019377568995889608,0.010101010101010055
0.019573302016050106,0.010000000000000009
0.019769035036210608,0.00990099009900991
0.01996476805637111,0.009803921568627416
0.02016050107653161,0.009708737864077666
0.020356234096692113,0.009615384615384581
0.020551967116852612,0.00952380952380949
0.020747700137013114,0.009433962264150941
0.020943433157173615,0.009345794392523366
0.021139166177334117,0.0092592592592593
0.02133489919749462,0.00917431192660545
0.021530632217655117,0.009090909090909038
0.02172636523781562,0.009009009009009028
0.02192209825797612,0.008928571428571397
0.022117831278136622,0.008849557522123908
0.022313564298297124,0.00877192982456143
0.022509297318457622,0.008695652173912993
0.022705030338618124,0.008620689655172376
0.022900763358778626,0.008547008547008517
0.023096496378939128,0.008474576271186418
0.02329222939909963,0.008403361344537785
0.023487962419260128,0.008333333333333304
0.02368369543942063,0.008264462809917328
0.02387942845958113,0.008196721311475419
0.024075161479741633,0.008130081300813052
0.024270894499902135,0.008064516129032251
0.024466627520062633,0.008000000000000007
0.024662360540223135,0.007936507936507908
0.024858093560383637,0.007874015748031482
0.02505382658054414,0.0078125
0.02524955960070464,0.007751937984496138
0.02544529262086514,0.007692307692307665
0.02564102564102564,0.007633587786259555
0.025836758661186142,0.007575757575757569
0.026032491681346644,0.007518796992481258
0.026228224701507145,0.007462686567164201
0.026423957721667644,0.007407407407407418
0.026619690741828145,0.007352941176470562
0.026815423761988647,0.007299270072992692
0.02701115678214915,0.007246376811594235
0.02720688980230965,0.007194244604316502
0.02740262282247015,0.0071428571428571175
0.02759835584263065,0.007092198581560294
0.027794088862791153,0.007042253521126751
0.027989821882951654,0.006993006993006978
0.028185554903112156,0.00694444444444442
0.028381287923272658,0.006896551724137945
0.028577020943433156,0.006849315068493178
0.028772753963593658,0.006802721088435382
0.02896848698375416,0.006756756756756799
0.02916422000391466,0.006711409395973145
0.029359953024075163,0.00666666666666671
0.02955568604423566,0.0066225165562914245
0.029751419064396163,0.006578947368421018
0.029947152084556665,0.006535947712418277
0.030142885104717167,0.00649350649350644
0.03033861812487767,0.006451612903225823
0.030534351145038167,0.0064102564102563875
0.03073008416519867,0.006369426751592355
0.03092581718535917,0.006329113924050667
0.031121550205519672,0.0062893081761006275
0.03131728322568017,0.006249999999999978
0.03151301624584067,0.006211180124223614
0.031708749266001174,0.006172839506172867
0.031904482286161676,0.006134969325153339
0.03210021530632218,0.0060975609756097615
0.03229594832648268,0.0060606060606061
0.03249168134664318,0.0060240963855421326
0.03268741436680368,0.005988023952095856
0.03288314738696418,0.005952380952380931
0.03307888040712468,0.00591715976331364
0.03327461342728518,0.00588235294117645
0.03347034644744568,0.005847953216374324
0.033666079467606184,0.005813953488372103
0.033861812487766686,0.005780346820809301
0.03405754550792719,0.005747126436781658
0.03425327852808769,0.005714285714285672
0.03444901154824819,0.005681818181818232
0.03464474456840869,0.005649717514124242
0.034840477588569195,0.005617977528089901
0.03503621060872969,0.005586592178770999
0.03523194362889019,0.005555555555555536
0.03542767664905069,0.0055248618784530246
0.035623409669211195,0.005494505494505475
0.0358191426893717,0.005464480874316946
0.0360148757095322,0.005434782608695676
0.0362106087296927,0.00540540540540535
0.0364063417498532,0.005376344086021501
0.036602074770013704,0.005347593582887722
0.036797807790174206,0.005319148936170248
0.0369935408103347,0.005291005291005346
0.0371892738304952,0.0052631578947368585
0.037385006850655704,0.005235602094240788
0.037580739870816206,0.00520833333333337
0.03777647289097671,0.005181347150259086
0.03797220591113721,0.005154639175257714
0.03816793893129771,0.00512820512820511
0.03836367195145821,0.005102040816326481
0.038559404971618715,0.005076142131979711
0.038755137991779216,0.005050505050505083
0.03895087101193971,0.005025125628140725
0.03914660403210021,0.0050000000000000044
0.039342337052260715,0.00497512437810943
0.039538070072421216,0.004950495049504955
0.03973380309258172,0.0049261083743842304
0.03992953611274222,0.004901960784313708
0.04012526913290272,0.004878048780487809
0.04032100215306322,0.004854368932038833
0.040516735173223725,0.004830917874396157
0.04071246819338423,0.004807692307692291
0.04090820121354472,0.004784688995215336
0.041103934233705224,0.004761904761904745
0.041299667253865725,0.004739336492891044
0.04149540027402623,0.004716981132075526
0.04169113329418673,0.0046948356807511304
0.04188686631434723,0.004672897196261627
0.04208259933450773,0.0046511627906976605
0.042278332354668234,0.00462962962962965
0.042474065374828736,0.004608294930875556
0.04266979839498924,0.004587155963302725
0.04286553141514973,0.004566210045662156
0.043061264435310234,0.004545454545454519
0.043256997455470736,0.004524886877828038
0.04345273047563124,0.0045045045045044585
0.04364846349579174,0.004484304932735439
0.04384419651595224,0.004464285714285698
0.04403992953611274,0.004444444444444473
0.044235662556273245,0.004424778761061954
0.044431395576433746,0.004405286343612369
0.04462712859659425,0.004385964912280715
0.04482286161675474,0.004366812227074246
0.045018594636915245,0.004347826086956497
0.04521432765707575,0.0043290043290042934
0.04541006067723625,0.004310344827586188
0.04560579369739675,0.0042918454935622075
0.04580152671755725,0.004273504273504258
0.045997259737717754,0.004255319148936176
0.046192992757878255,0.004237288135593209
0.04638872577803876,0.00421940928270037
0.04658445879819926,0.004201680672268893
0.04678019181835976,0.004184100418409997
0.046975924838520255,0.004166666666666652
0.04717165785868076,0.004149377593360981
0.04736739087884126,0.004132231404958664
0.04756312389900176,0.004115226337448541
0.04775885691916226,0.004098360655737654
0.047954589939322764,0.004081632653061273
0.048150322959483266,0.004065040650406471
0.04834605597964377,0.004048582995951455
0.04854178899980427,0.0040322580645161255
0.04873752201996477,0.004016064257028162
0.048933255040125266,0.0040000000000000036
0.04912898806028577,0.003984063745019917
0.04932472108044627,0.003968253968253954
0.04952045410060677,0.0039525691699604515
0.04971618712076727,0.003937007874015741
0.049911920140927775,0.0039215686274509665
0.05010765316108828,0.00390625
0.05030338618124878,0.0038910505836575737
0.05049911920140928,0.003875968992248069
0.05069485222156978,0.0038610038610038533
0.05089058524173028,0.0038461538461538325
