fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.925,0.9277,0.7716,0.8776
2,0.928,0.9297,0.7789,0.8883
3,0.933,0.9328,0.7789,0.8951
4,0.9327,0.931,0.7996,0.8961
5,0.9265,0.9276,0.7627,0.886
TEST,0.9392,0.9409,0.7468,0.9019
