season,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
kharif,3,2,0.4294,0.9235,0.4661,0.9146,0.9144,0.001
kharif,3,3,0.3878,0.9305,0.4668,0.9114,0.9144,0.001
kharif,3,4,0.3533,0.9374,0.451,0.919,0.9188,0.001
kharif,3,5,0.3372,0.9392,0.3888,0.9305,0.9292,0.001
kharif,3,6,0.31,0.9452,0.391,0.9292,0.9285,0.001
kharif,3,7,0.2981,0.9478,0.4274,0.9229,0.9239,0.001
kharif,3,8,0.283,0.9494,0.4531,0.9178,0.9214,0.001
kharif,3,9,0.2708,0.9518,0.4115,0.9253,0.9259,0.001
kharif,3,10,0.2577,0.9534,0.3891,0.9298,0.9309,0.001
kharif,3,11,0.2505,0.9553,0.4221,0.9222,0.924,0.001
kharif,3,12,0.2439,0.9558,0.4415,0.9182,0.9222,0.001
kharif,3,13,0.2262,0.9596,0.4437,0.9207,0.9227,0.0005
kharif,3,14,0.1913,0.966,0.3941,0.9315,0.931,0.0005
kharif,3,15,0.1743,0.9688,0.4187,0.9259,0.9264,0.0005
kharif,3,16,0.1681,0.9699,0.4125,0.9273,0.9286,0.0005
kharif,3,17,0.1608,0.9714,0.4076,0.9298,0.929,0.0005
kharif,3,18,0.1567,0.9723,0.4094,0.9269,0.9285,0.0005
kharif,3,19,0.1564,0.9723,0.4244,0.9252,0.9248,0.0005
kharif,3,20,0.1473,0.9738,0.4051,0.9294,0.9298,0.0005
kharif,3,21,0.1432,0.9743,0.4188,0.9271,0.9282,0.00025
kharif,3,22,0.1292,0.9766,0.4113,0.9296,0.9304,0.00025
kharif,3,23,0.1218,0.9781,0.415,0.9291,0.9306,0.00025
kharif,3,24,0.1196,0.9785,0.4202,0.9288,0.9284,0.00025
kharif,3,25,0.1181,0.9784,0.4112,0.9289,0.9293,0.00025
kharif,3,26,0.1154,0.979,0.4161,0.9283,0.9287,0.00025
kharif,3,27,0.1138,0.9793,0.4145,0.9292,0.9299,0.00025
kharif,3,28,0.1142,0.9792,0.4085,0.93,0.93,0.00025
kharif,3,29,0.1103,0.98,0.4161,0.9294,0.9297,0.000125
kharif,3,30,0.1064,0.9804,0.4096,0.931,0.9312,0.000125
kharif,3,31,0.1034,0.9812,0.4055,0.9329,0.9324,0.000125
kharif,3,32,0.1026,0.9812,0.4091,0.931,0.9305,0.000125
kharif,3,33,0.1022,0.9813,0.4136,0.9298,0.9293,0.000125
kharif,3,34,0.1011,0.9816,0.412,0.9303,0.9307,0.000125
kharif,3,35,0.1006,0.9815,0.4034,0.9326,0.9325,0.000125
kharif,3,36,0.0981,0.982,0.4093,0.933,0.9328,0.000125
kharif,3,37,0.098,0.9819,0.4185,0.9302,0.9306,6.25e-05
kharif,3,38,0.0957,0.9824,0.4067,0.9327,0.9323,6.25e-05
kharif,3,39,0.0951,0.9825,0.4098,0.932,0.9317,6.25e-05
kharif,3,40,0.0962,0.9823,0.4099,0.9319,0.9318,6.25e-05
kharif,3,41,0.0942,0.9825,0.4113,0.9311,0.9308,6.25e-05
kharif,3,42,0.0934,0.9828,0.4128,0.9312,0.9312,6.25e-05
kharif,3,43,0.0934,0.9827,0.4102,0.9321,0.9318,6.25e-05
kharif,3,44,0.0923,0.9828,0.4148,0.9313,0.9308,6.25e-05
kharif,3,45,0.091,0.9831,0.4142,0.9305,0.9307,3.125e-05
kharif,3,46,0.09,0.9833,0.4131,0.9312,0.9308,3.125e-05
kharif,3,47,0.0905,0.9832,0.4133,0.9315,0.9312,3.125e-05
kharif,3,48,0.0898,0.9831,0.4194,0.9298,0.9294,3.125e-05
kharif,3,49,0.0891,0.9833,0.4173,0.9301,0.9296,3.125e-05
kharif,3,50,0.0898,0.9834,0.4176,0.9305,0.9302,3.125e-05
