ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
1-117-1-2-27082023-1-1653,Lasbela,Balochistan,Jantar,Cotton,0.9936,0.0497,True
1-117-1-2-28082023-1-1865,Lasbela,Balochistan,Jantar,Cotton,0.993,0.051,True
1-117-1-2-28082023-1-2015,Lasbela,Balochistan,Cotton,Jantar,0.9925,0.052,True
1-117-1-2-29082023-1-2261,Lasbela,Balochistan,Sorghum,Cotton,0.9988,0.0108,True
1-117-6-2-27082023-1-1142,Lasbela,Balochistan,Cotton,Jantar,0.9982,0.0157,True
1-117-6-2-27082023-1-1158,Lasbela,Balochistan,Cotton,Rice,0.9963,0.0273,True
1-117-6-2-27082023-1-1185,Lasbela,Balochistan,Cotton,Jantar,0.9957,0.0332,True
1-117-6-2-27082023-1-1262,Lasbela,Balochistan,Cotton,Jantar,0.9926,0.0554,True
1-117-6-2-28082023-1-1384,Lasbela,Balochistan,Sugarcane,Cotton,0.9983,0.0153,True
1-117-6-2-28082023-1-1438,Lasbela,Balochistan,Cotton,Sesame (Til),0.9943,0.041,True
1-117-6-2-29082023-1-1639,Lasbela,Balochistan,Sorghum,Cotton,0.9971,0.0239,True
1-117-6-2-29082023-1-1669,Lasbela,Balochistan,Cotton,Jantar,0.9947,0.0395,True
1-121-17-2-29082023-1-2443,Nasirabad,Balochistan,Sorghum,Sesame (Til),0.9967,0.0229,True
1-121-4-2-27082023-1-1078,Nasirabad,Balochistan,Maize,Rice,0.9999,0.0008,True
1-121-4-2-27082023-1-904,Nasirabad,Balochistan,Sorghum,Rice,0.9999,0.0012,True
1-121-4-2-29082023-1-2160,Nasirabad,Balochistan,Sorghum,Cotton,0.9988,0.0101,True
1-121-4-2-29082023-1-2174,Nasirabad,Balochistan,Sorghum,Sesame (Til),0.9969,0.0233,True
1-127-17-2-25082023-1-965,Sibi,Balochistan,Sorghum,Cotton,0.9994,0.0055,True
1-127-17-2-26082023-1-1071,Sibi,Balochistan,Sorghum,Cotton,0.9964,0.0298,True
1-127-4-2-24082023-1-430,Sibi,Balochistan,Cotton,Sorghum,0.9919,0.0516,True
1-127-4-2-25082023-1-709,Sibi,Balochistan,Sorghum,Cotton,0.9993,0.0063,True
1-131-17-2-30082023-1-3095,Sohbatpur,Balochistan,Maize,Rice,0.9999,0.0012,True
3-313-12-2-02092023-1-1605,Charsadda,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9991,0.0089,True
