fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9173,0.92,0.7402,0.8648
2,0.9188,0.9225,0.7529,0.8751
3,0.9236,0.9246,0.7524,0.8811
4,0.9245,0.9275,0.7951,0.8849
5,0.914,0.9167,0.7374,0.8679
TEST,0.9199,0.9268,0.6932,0.8728
