fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9475,0.948,0.8628,0.8484
2,0.9351,0.934,0.8549,0.8125
3,0.937,0.9359,0.8239,0.7925
4,0.969,0.9688,0.9332,0.9225
5,0.9268,0.9265,0.8028,0.7629
TEST,0.9475,0.9472,0.8566,0.8722
