fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9663,0.9665,0.9267,0.902
2,0.9655,0.9656,0.9173,0.9038
3,0.9452,0.9458,0.8852,0.8647
4,0.956,0.9567,0.8886,0.8628
5,0.9447,0.9445,0.8605,0.831
TEST,0.931,0.9326,0.8248,0.8376
