fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8688,0.8753,0.7759,0.7025
2,0.9089,0.9121,0.8124,0.7895
3,0.9019,0.9021,0.8277,0.7594
4,0.9099,0.9127,0.8252,0.7782
5,0.9326,0.933,0.8652,0.8395
TEST,0.9395,0.9446,0.7653,0.687
