fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9155,0.9203,0.7908,0.7494
2,0.9341,0.9371,0.8477,0.8414
3,0.9372,0.939,0.8518,0.8269
4,0.937,0.9371,0.8322,0.8225
5,0.9176,0.9222,0.8338,0.8044
TEST,0.8756,0.8833,0.7616,0.6881
