fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9108,0.9172,0.7406,0.8557
2,0.92,0.9244,0.7727,0.8775
3,0.9241,0.9262,0.7585,0.8823
4,0.921,0.9252,0.7917,0.8797
5,0.921,0.9233,0.7644,0.8787
TEST,0.9314,0.9367,0.7315,0.8906
