fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9005,0.9026,0.7566,0.6859
2,0.9366,0.9377,0.8478,0.8414
3,0.9361,0.9374,0.8661,0.8204
4,0.9085,0.9108,0.7874,0.7543
5,0.9153,0.9167,0.8362,0.789
TEST,0.8873,0.8922,0.7487,0.6918
