bin_center,accuracy,confidence,count
0.3,0.0,0.293467253446579,1
0.3666666666666667,0.5,0.3726167380809784,2
0.43333333333333335,0.0,0.43019789457321167,7
0.5,0.42857142857142855,0.5005088448524475,14
0.5666666666666667,0.4,0.5675225853919983,10
0.6333333333333333,0.47058823529411764,0.6392030715942383,17
0.7,0.6190476190476191,0.7013578414916992,21
0.7666666666666666,0.5185185185185185,0.7698997855186462,27
0.8333333333333334,0.6666666666666666,0.8351541757583618,33
0.9,0.7846153846153846,0.9043456315994263,65
0.9666666666666667,0.9727817093086554,0.9812802672386169,1837
