season,fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
rabi,2,32,0.0991,0.9826,0.3781,0.9338,0.9324,0.000125
rabi,2,33,0.0956,0.9832,0.3713,0.9347,0.9336,0.000125
rabi,2,34,0.0958,0.9834,0.3865,0.9315,0.93,0.000125
rabi,2,35,0.0939,0.9834,0.3833,0.9313,0.9301,0.000125
rabi,3,1,0.9004,0.8552,0.6383,0.8784,0.8888,0.001
rabi,3,2,0.3602,0.937,0.4768,0.9184,0.9166,0.001
rabi,3,3,0.3115,0.9433,0.4228,0.9291,0.9289,0.001
rabi,3,4,0.2852,0.9485,0.3992,0.935,0.9341,0.001
rabi,3,5,0.2736,0.9501,0.3892,0.9361,0.9355,0.001
rabi,3,6,0.2543,0.9545,0.3835,0.9366,0.9368,0.001
rabi,3,7,0.2414,0.9555,0.4147,0.9309,0.9309,0.001
rabi,3,8,0.2326,0.9576,0.4067,0.9298,0.9308,0.001
rabi,3,9,0.2313,0.9569,0.3852,0.9374,0.9374,0.001
rabi,3,10,0.2261,0.9589,0.4144,0.9294,0.9301,0.001
rabi,3,11,0.2107,0.9616,0.4497,0.9283,0.9255,0.001
rabi,3,12,0.1985,0.9647,0.4259,0.9285,0.9283,0.001
rabi,3,13,0.2021,0.9642,0.4649,0.9186,0.9199,0.001
rabi,3,14,0.2003,0.9634,0.4366,0.9298,0.928,0.0005
rabi,3,15,0.1803,0.9677,0.3983,0.9326,0.9335,0.0005
rabi,3,16,0.1655,0.9699,0.4066,0.9329,0.9322,0.0005
rabi,3,17,0.155,0.9724,0.4006,0.9329,0.9319,0.0005
rabi,3,18,0.1497,0.9734,0.4073,0.9342,0.933,0.0005
rabi,3,19,0.1451,0.9739,0.4089,0.9324,0.9318,0.0005
rabi,3,20,0.1522,0.9727,0.4348,0.9304,0.9284,0.0005
rabi,3,21,0.137,0.9757,0.4166,0.9326,0.9315,0.0005
rabi,3,22,0.1345,0.9763,0.4175,0.9326,0.9317,0.00025
rabi,3,23,0.1253,0.9782,0.4271,0.9315,0.9309,0.00025
rabi,3,24,0.1179,0.9793,0.421,0.9324,0.9311,0.00025
rabi,3,25,0.1158,0.9797,0.4238,0.9296,0.9288,0.00025
rabi,3,26,0.1127,0.9801,0.4232,0.9322,0.9309,0.00025
rabi,3,27,0.1105,0.9806,0.4325,0.9285,0.928,0.00025
rabi,3,28,0.1083,0.9811,0.4162,0.9331,0.9322,0.00025
rabi,3,29,0.1067,0.981,0.4332,0.9304,0.9288,0.00025
rabi,4,1,0.9558,0.8437,0.8174,0.8404,0.806,0.001
rabi,4,2,0.4583,0.9196,0.316,0.9438,0.9442,0.001
rabi,4,3,0.3852,0.9309,0.2588,0.9553,0.9552,0.001
rabi,4,4,0.3675,0.934,0.2338,0.9594,0.9594,0.001
rabi,4,5,0.3335,0.9408,0.2272,0.9625,0.9624,0.001
rabi,4,6,0.3164,0.943,0.2263,0.9627,0.9624,0.001
rabi,4,7,0.298,0.9472,0.2592,0.9547,0.9545,0.001
rabi,4,8,0.2916,0.9485,0.2426,0.9577,0.9581,0.001
rabi,4,9,0.2788,0.951,0.2751,0.9464,0.9475,0.001
rabi,4,10,0.2734,0.9508,0.2377,0.9588,0.9589,0.001
rabi,4,11,0.2685,0.9522,0.2515,0.9584,0.9583,0.001
rabi,4,12,0.2674,0.9514,0.2378,0.9597,0.9594,0.001
rabi,4,13,0.2484,0.9553,0.2297,0.9614,0.9616,0.001
rabi,4,14,0.2442,0.9558,0.2374,0.959,0.9593,0.0005
rabi,4,15,0.2149,0.9613,0.2363,0.9607,0.9605,0.0005
rabi,4,16,0.1982,0.9653,0.2365,0.9603,0.96,0.0005
rabi,4,17,0.1875,0.9664,0.2249,0.961,0.9611,0.0005
rabi,4,18,0.1863,0.967,0.2285,0.9607,0.9608,0.0005
rabi,4,19,0.1828,0.9677,0.2272,0.9614,0.9611,0.0005
rabi,4,20,0.1712,0.9707,0.2328,0.962,0.9618,0.0005
rabi,4,21,0.1664,0.9703,0.2317,0.961,0.9611,0.0005
rabi,4,22,0.1698,0.9703,0.2473,0.9577,0.9581,0.0005
rabi,4,23,0.1635,0.9708,0.2277,0.9633,0.9632,0.0005
rabi,4,24,0.1556,0.9727,0.2411,0.9597,0.9599,0.0005
rabi,4,25,0.1524,0.973,0.2369,0.9603,0.9604,0.00025
rabi,4,26,0.141,0.9756,0.2375,0.9605,0.9606,0.00025
rabi,4,27,0.1338,0.9765,0.232,0.964,0.9638,0.00025
rabi,4,28,0.1275,0.9775,0.2311,0.962,0.962,0.00025
rabi,4,29,0.128,0.9778,0.233,0.9623,0.9622,0.00025
rabi,4,30,0.1238,0.9784,0.2327,0.9612,0.961,0.00025
rabi,4,31,0.1204,0.9789,0.2384,0.9592,0.9592,0.00025
rabi,4,32,0.1183,0.9791,0.2323,0.9618,0.9617,0.00025
rabi,4,33,0.1181,0.9795,0.236,0.961,0.9606,0.000125
rabi,4,34,0.1112,0.9806,0.2351,0.9629,0.9626,0.000125
rabi,4,35,0.107,0.9814,0.2353,0.9618,0.9616,0.000125
rabi,4,36,0.1066,0.9814,0.2405,0.9616,0.9613,0.000125
rabi,4,37,0.1058,0.9816,0.2404,0.9605,0.9603,0.000125
rabi,4,38,0.1041,0.9816,0.234,0.961,0.9608,0.000125
rabi,4,39,0.1022,0.9822,0.2401,0.9601,0.9599,0.000125
rabi,4,40,0.0995,0.9826,0.2366,0.9625,0.9623,0.000125
rabi,4,41,0.1001,0.9825,0.2377,0.9607,0.9606,6.25e-05
rabi,4,42,0.0982,0.9828,0.2389,0.9597,0.9596,6.25e-05
rabi,4,43,0.0956,0.9833,0.2373,0.961,0.9607,6.25e-05
rabi,4,44,0.0955,0.9832,0.2386,0.9612,0.961,6.25e-05
rabi,4,45,0.0946,0.9834,0.242,0.9603,0.9602,6.25e-05
rabi,4,46,0.0938,0.9836,0.2391,0.9607,0.9606,6.25e-05
rabi,4,47,0.0937,0.9839,0.2369,0.9625,0.9623,6.25e-05
rabi,5,1,0.9352,0.8426,0.5803,0.9001,0.8928,0.001
rabi,5,2,0.3547,0.9369,0.488,0.9119,0.9094,0.001
rabi,5,3,0.3031,0.9442,0.469,0.9141,0.9134,0.001
rabi,5,4,0.2812,0.9483,0.4769,0.9188,0.9167,0.001
rabi,5,5,0.2588,0.9528,0.4856,0.9119,0.9116,0.001
rabi,5,6,0.2487,0.9547,0.4529,0.9175,0.9177,0.001
