fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9493,0.9496,0.8686,0.8527
2,0.9375,0.9375,0.8596,0.8238
3,0.9374,0.9374,0.8284,0.7986
4,0.964,0.9638,0.9209,0.9096
5,0.9279,0.9266,0.8017,0.7599
TEST,0.9366,0.9359,0.8225,0.8456
