ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
1-112-21-1-02032023-2-203,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9993,0.0064,True
1-112-21-1-02032023-2-204,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9981,0.0157,True
1-112-21-1-02032023-2-213,Mianwali,Punjab,Barseem,Wheat,0.9994,0.0055,True
1-112-21-1-02032023-2-244,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9995,0.0053,True
1-112-21-1-03032023-1-491,Mianwali,Punjab,Wheat,Rapeseed Mustard,0.9988,0.0107,True
1-112-21-1-03032023-2-288,Mianwali,Punjab,Wheat,Sugarcane,0.999,0.0084,True
1-112-21-1-03032023-2-306,Mianwali,Punjab,Barseem,Wheat,0.9975,0.02,True
1-112-21-1-03032023-2-312,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9993,0.0069,True
1-112-21-1-03032023-2-317,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9992,0.0074,True
1-112-21-1-03032023-2-344,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9991,0.0082,True
1-112-21-1-03032023-2-361,Mianwali,Punjab,Barseem,Rapeseed Mustard,0.9981,0.0161,True
1-112-21-1-03032023-2-373,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.999,0.0094,True
1-112-21-1-04032023-2-500,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9982,0.0149,True
1-112-21-1-04032023-2-523,Mianwali,Punjab,Wheat,Rapeseed Mustard,0.9991,0.0086,True
1-112-21-1-04032023-2-607,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9993,0.0065,True
1-112-21-1-04032023-2-637,Mianwali,Punjab,Rapeseed Mustard,Wheat,0.9992,0.0069,True
1-113-16-1-02032023-1-112,Multan,Punjab,Wheat,Rapeseed Mustard,0.9977,0.019,True
1-113-16-1-03032023-1-302,Multan,Punjab,Sugarcane,Wheat,0.998,0.017,True
1-113-18-1-02032023-2-26,Multan,Punjab,Wheat,Barseem,0.9991,0.0084,True
1-113-18-1-02032023-2-81,Multan,Punjab,Barseem,Wheat,0.9985,0.013,True
1-113-18-1-03032023-2-172,Multan,Punjab,Wheat,Barseem,0.9998,0.0021,True
1-113-18-1-03032023-2-214,Multan,Punjab,Wheat,Rapeseed Mustard,0.998,0.0164,True
