fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8548,0.8815,0.6437,0.7743
2,0.8487,0.8789,0.6569,0.7768
3,0.8628,0.8833,0.666,0.7945
4,0.8691,0.8854,0.6938,0.8048
5,0.8348,0.8666,0.628,0.761
TEST,0.8869,0.911,0.6198,0.8248
