fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9109,0.9114,0.7393,0.8628
2,0.9267,0.9265,0.7587,0.8898
3,0.9168,0.9182,0.743,0.8677
4,0.9236,0.9256,0.7546,0.8796
5,0.9255,0.9272,0.7938,0.8842
TEST,0.9301,0.9338,0.7562,0.8874
