fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9054,0.9086,0.7373,0.856
2,0.9281,0.93,0.7662,0.8922
3,0.924,0.9267,0.7694,0.8795
4,0.9229,0.928,0.7498,0.8791
5,0.9307,0.9327,0.7998,0.8921
TEST,0.9335,0.9374,0.7571,0.8926
