fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9117,0.9172,0.7336,0.857
2,0.9253,0.9277,0.7864,0.8852
3,0.9252,0.927,0.7682,0.8839
4,0.9259,0.9279,0.7939,0.8867
5,0.9176,0.921,0.7512,0.8738
TEST,0.9272,0.9346,0.7043,0.884
