fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9513,0.9514,0.8735,0.8577
2,0.9368,0.9357,0.8615,0.817
3,0.9374,0.937,0.8253,0.7977
4,0.9655,0.9653,0.9245,0.9139
5,0.9292,0.9291,0.8014,0.771
TEST,0.9386,0.9386,0.8351,0.8519
