fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.921,0.926,0.8199,0.7884
2,0.9249,0.9274,0.8316,0.8011
3,0.9108,0.9153,0.7983,0.7387
4,0.9512,0.9526,0.8981,0.8843
5,0.9001,0.9057,0.7428,0.7102
TEST,0.9077,0.9165,0.7932,0.7964
