fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9149,0.9195,0.7945,0.747
2,0.9301,0.9325,0.8295,0.8298
3,0.9381,0.9395,0.8604,0.828
4,0.9404,0.94,0.8423,0.8299
5,0.9304,0.9326,0.8615,0.8291
TEST,0.9094,0.9131,0.8,0.7571
