fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9118,0.9154,0.7387,0.8565
2,0.9185,0.9218,0.7574,0.8748
3,0.922,0.923,0.7441,0.8787
4,0.927,0.9282,0.7987,0.8881
5,0.9142,0.9178,0.7447,0.8683
TEST,0.9304,0.9345,0.719,0.8885
