fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9003,0.9096,0.7201,0.84
2,0.9118,0.9184,0.7584,0.8657
3,0.9128,0.9181,0.7429,0.8658
4,0.9209,0.9244,0.7857,0.8796
5,0.9021,0.9102,0.7314,0.8517
TEST,0.9238,0.931,0.7051,0.8791
