fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9353,0.936,0.8464,0.8126
2,0.9283,0.929,0.8458,0.8028
3,0.9309,0.9311,0.8161,0.7799
4,0.9607,0.9609,0.9121,0.903
5,0.9208,0.9215,0.7901,0.7497
TEST,0.9324,0.9341,0.8279,0.8403
