fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9017,0.9028,0.7029,0.8465
2,0.8931,0.895,0.6614,0.8342
3,0.8981,0.8962,0.7172,0.8433
4,0.8922,0.8915,0.6926,0.8384
5,0.9103,0.9084,0.7119,0.8601
TEST,0.8806,0.8844,0.6232,0.8002
