fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.904,0.9091,0.7181,0.8444
2,0.9062,0.9104,0.7347,0.8563
3,0.9151,0.9168,0.7429,0.8683
4,0.9142,0.9147,0.7609,0.8683
5,0.9012,0.9078,0.7185,0.8495
TEST,0.9194,0.9241,0.6982,0.8716
