fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9205,0.9234,0.7437,0.8702
2,0.9284,0.9292,0.7698,0.8887
3,0.93,0.9297,0.7638,0.8903
4,0.9346,0.933,0.8061,0.899
5,0.9225,0.9237,0.7512,0.8799
TEST,0.9361,0.9377,0.7476,0.8969
