fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8955,0.904,0.7664,0.7042
2,0.9023,0.9082,0.8114,0.7759
3,0.9314,0.9338,0.8477,0.814
4,0.9135,0.9175,0.7969,0.7728
5,0.9014,0.9103,0.8061,0.7743
TEST,0.8818,0.8902,0.7774,0.7071
