fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9314,0.9332,0.8287,0.8057
2,0.9321,0.9328,0.8456,0.8121
3,0.9215,0.9246,0.8065,0.7668
4,0.9581,0.9586,0.9061,0.8975
5,0.9147,0.9165,0.7644,0.7357
TEST,0.9292,0.9323,0.8273,0.837
