fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8949,0.8995,0.8021,0.7607
2,0.9123,0.9164,0.8147,0.8005
3,0.912,0.9154,0.8412,0.7959
4,0.8964,0.9033,0.8115,0.761
5,0.9241,0.9266,0.8576,0.8267
TEST,0.9079,0.9212,0.6865,0.6005
