fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9273,0.9282,0.7726,0.8804
2,0.9275,0.9289,0.7781,0.8876
3,0.9337,0.9339,0.7819,0.8963
4,0.9348,0.9328,0.8027,0.8992
5,0.9265,0.9285,0.7623,0.8861
TEST,0.9363,0.939,0.7378,0.8972
