fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9076,0.9158,0.7349,0.8567
2,0.9071,0.9143,0.7243,0.8569
3,0.9137,0.9178,0.7617,0.8682
4,0.9098,0.9148,0.7473,0.8659
5,0.9246,0.9291,0.7629,0.8831
TEST,0.901,0.9115,0.6766,0.834
