fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.909,0.914,0.7225,0.8523
2,0.9186,0.9209,0.7646,0.8748
3,0.9223,0.9234,0.7553,0.8789
4,0.9256,0.9272,0.7918,0.8862
5,0.9148,0.9189,0.7383,0.8693
TEST,0.9293,0.9339,0.7202,0.8873
