fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9209,0.9226,0.7505,0.8701
2,0.9283,0.9296,0.7749,0.8887
3,0.9341,0.9345,0.7844,0.897
4,0.9319,0.9312,0.8019,0.8949
5,0.9242,0.9263,0.7469,0.883
TEST,0.9352,0.9386,0.742,0.8956
