fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8916,0.8995,0.7249,0.8363
2,0.9232,0.9263,0.7559,0.8853
3,0.9128,0.9189,0.75,0.8633
4,0.9085,0.9172,0.7169,0.8573
5,0.9214,0.9255,0.791,0.8785
TEST,0.9213,0.9285,0.7279,0.8737
