fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8954,0.9041,0.7494,0.7063
2,0.9052,0.9095,0.8059,0.7819
3,0.9296,0.9324,0.846,0.8105
4,0.9215,0.924,0.8106,0.7886
5,0.912,0.9183,0.8275,0.7936
TEST,0.8763,0.8856,0.7643,0.6975
