fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.8934,0.9056,0.7094,0.8299
2,0.913,0.9196,0.7506,0.867
3,0.9181,0.9226,0.7629,0.8736
4,0.9292,0.9315,0.7959,0.8918
5,0.8949,0.9036,0.7204,0.841
TEST,0.9212,0.9283,0.6997,0.8749
