fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9055,0.9129,0.7219,0.8468
2,0.9159,0.9225,0.7495,0.8711
3,0.9176,0.9229,0.7484,0.8726
4,0.9263,0.9293,0.7846,0.8873
5,0.9107,0.9152,0.7247,0.863
TEST,0.9192,0.928,0.6789,0.8715
