fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9276,0.9301,0.8447,0.7984
2,0.9306,0.931,0.8485,0.8073
3,0.9276,0.9288,0.8184,0.7742
4,0.9623,0.9623,0.9153,0.9068
5,0.9238,0.9244,0.7918,0.7586
TEST,0.9283,0.9315,0.8261,0.8343
