fold,OA,Weighted_F1,Macro_F1,Kappa
1,0.9228,0.9274,0.7677,0.874
2,0.9302,0.9313,0.779,0.8918
3,0.9316,0.9297,0.7539,0.8926
4,0.932,0.9318,0.8043,0.895
5,0.9253,0.9272,0.7624,0.8845
TEST,0.9389,0.9424,0.7341,0.9018
